address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
辽宁省大连市甘井子区泉水D1区37-7号1单元1层2号,大连,大连运腾房地产开发有限公司,甘井子,20200215,38.95800216293212,121.53151895549547,锦泉源D2区,192,13749,大连嘉毅物业管理有限公司,0.5,辽宁,13,二手房,2000
香炉礁街24号1-1,大连,无开发商,西岗,20200215,-,-,香炉礁,170,11253,街道办事处（居委会）代管物业,0.1,辽宁,21,二手房,1979
开发区湾里南12栋-16、17、18号,大连,大连金湾实业有限公司,开发区,20200215,39.0710420980366,121.85699498414282,湾里东,244,8409,大连金湾物业管理有限公司,0.5,辽宁,5,二手房,2001
山东路184号,大连,大连市大钢集团,甘井子,20200215,-,-,山东路,78,13221,街道办事处（居委会）代管物业,0.2,辽宁,4,二手房,1900
开发区湾里南12栋-16、17、18号,大连,大连金湾实业有限公司,开发区,20200215,39.0710420980366,121.85699498414282,湾里南小区,389,8911,大连金湾物业管理有限公司,0.3,辽宁,15,二手房,2002
榆林街37-11号,大连,新型房地产开发有限公司,甘井子,20200215,-,-,泡崖美林园,204,11672,新兴物业,0.6,辽宁,19,二手房,1996
沙河口区富民路120号4单元1层1号,大连,大连渤海红旗集团有限公司,沙河口,20200215,38.93096547830764,121.56488196913604,马栏小学北,76,10982,街道办事处（居委会）代管物业,0.2,辽宁,6,二手房,1990
华新苑10号公建,大连,大连新型房地产开发有限公司,沙河口,20200215,39.7087228081588,115.98904276913356,侯一小区,168,11652,大连新兴物业管理有限公司,0.3,辽宁,19,二手房,1988
玉湖街25号,大连,大连新型房地产开发有限公司,甘井子,20200215,-,-,泡崖四区,151,11093,大连新型物业管理有限公司,0.5,辽宁,10,二手房,1995
大连市开发区黄河西路54号号,大连,中国铁路十三局,开发区,20200215,39.04780470991997,121.76709962040248,翠竹小区,115,8249,大连经济技术开发区中强物业管理有限公司,0.3,辽宁,6,二手房,1995
逸林南园1-1,大连,大连三联置业有限公司,甘井子,20200215,29.83619327037016,121.5195684207441,三鼎春天,93,24096,瑞联德（大连）物业管理有限公司,2.8,辽宁,4,二手房,2016
开发区东城园98-14号,大连,大连乾豪集团有限公司,开发区,20200215,31.351231014512848,104.21781067832417,东城天下,378,8736,大连远洋基业物业管理有限公司,0.9,辽宁,17,二手房,2001
大连市甘井子区汇畅街46号,大连,远洋地产有限公司,甘井子,20200215,39.00589670961274,121.5960974388278,远洋荣域,4,19944,远洋亿家物业服务股份有限公司大连分公司,2.8,辽宁,1,二手房,2015
大连市开发区润海园中区18-1号1层、18-2号1层,大连,华润置地（大连）有限公司,开发区,20200215,39.03913809369363,121.75878503934794,华润海中国二期,163,14066,华润物业（大连）有限公司,2.8,辽宁,10,二手房,2007
沙河口区富民路120号4单元1层1号,大连,大连渤海红旗集团有限公司,沙河口,20200215,38.93096547830764,121.56488196913604,马栏小学南,55,11903,大连辽南物业管理有限公司,0.2,辽宁,2,二手房,1990
黑石礁街5号1层1号,大连,无开发商,沙河口,20200215,-,-,黑石礁,16,13114,无物业管理服务,-,辽宁,2,二手房,1985
金泉路,大连,大连公路工程集团生辉房地产开发有限公司,金州,20200215,-,-,生辉第一城,130,10877,大连生辉物业管理有限公司,1.2,辽宁,7,二手房,2005
山东路184号,大连,大连嘉兴房地产开发有限公司,甘井子,20200215,-,-,千山路,73,12986,无物业管理服务,0.5,辽宁,6,二手房,1985
鞍山路31号,大连,无开发商,西岗,20200215,-,-,北京街北,53,13354,无物业管理服务,-,辽宁,0,二手房,1981
辽宁省大连市金州区先进街道金润小区B47-1-1-1链家地产,大连,大连辽大房地产开发有限公司,金州,20200215,39.09384544618999,121.74606117061296,金润小区B区,236,8682,大连新兴物业管理有限公司,0.4,辽宁,9,二手房,2000
大连市开发区润海园中区30栋-1号,大连,华润（大连）房地产有限公司,开发区,20200215,39.03913809369363,121.75878503934794,华润海中国三期,163,14251,华润物业（大连）有限公司,3.1,辽宁,6,二手房,2010
辽宁省大连市沙河口区西南路35号,大连,无开发商,沙河口,20200215,38.96046123579163,121.59561505236216,星海公园,62,13393,无物业管理服务,-,辽宁,4,二手房,1975
大连市开发区润海园中区62-9号1-2层,大连,华润（大连）房地产有限公司,开发区,20200215,39.03913809369363,121.75878503934794,华润海中国四期,125,13845,华润物业（大连）有限公司,3.1,辽宁,11,二手房,2000
辽宁省大连市甘井子区泉水H3区15号3单元1号2号,大连,大连新型房地产开发有限公司,甘井子,20200215,38.95800216293212,121.53151895549547,龙畔金泉二期,62,13072,大连新型物业管理有限公司,0.5,辽宁,3,二手房,2002
玉丽街27号,大连,大连新型房地产开发有限公司,甘井子,20200215,-,-,泡崖七区,114,11557,大连新兴物业管理有限公司,0.3,辽宁,5,二手房,1995
金泉路993-4号,大连,大连新希望家园房地产有限公司,金州,20200215,-,-,新希望家园,185,8741,大连新希望物业服务有限公司,1.2,辽宁,14,二手房,2000
昌黎街22号,大连,大连城市建设集团有限公司,沙河口,20200215,-,-,北昌平小区,124,13609,无物业管理服务,0.8,辽宁,11,二手房,1983
山东路215号,大连,无开发商,甘井子,20200215,-,-,兴华路,56,12856,街道办事处（居委会）代管物业,0.5,辽宁,3,二手房,1986
