address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
榆林街37-11号,大连,新型房地产开发有限公司,甘井子,20200116,-,-,泡崖美林园,207,11768,新兴物业,0.6,辽宁,34,二手房,1996
沙河口区富民路120号4单元1层1号,大连,大连渤海红旗集团有限公司,沙河口,20200116,38.93096547830764,121.56488196913604,马栏小学北,78,11048,街道办事处（居委会）代管物业,0.2,辽宁,10,二手房,1990
华新苑10号公建,大连,大连新型房地产开发有限公司,沙河口,20200116,39.7087228081588,115.98904276913356,侯一小区,169,11726,大连新兴物业管理有限公司,0.3,辽宁,26,二手房,1988
开发区湾里南12栋-16、17、18号,大连,大连金湾实业有限公司,开发区,20200116,39.0710420980366,121.85699498414282,湾里东,248,8424,大连金湾物业管理有限公司,0.5,辽宁,9,二手房,2001
山东路184号,大连,大连市大钢集团,甘井子,20200116,-,-,山东路,82,13130,街道办事处（居委会）代管物业,0.2,辽宁,7,二手房,1900
辽宁省大连市沙河口区沙能街101号,大连,大连新型房地产开发有限公司,沙河口,20200116,38.9366316275348,121.59031205759763,侯二小区,144,11416,街道办事处（居委会）代管物业,0.1,辽宁,26,二手房,1978
辽宁省大连市甘井子区泉水D1区37-7号1单元1层2号,大连,大连运腾房地产开发有限公司,甘井子,20200116,38.95800216293212,121.53151895549547,锦泉源D2区,189,13732,大连嘉毅物业管理有限公司,0.5,辽宁,18,二手房,2000
开发区湾里南12栋-16、17、18号,大连,大连金湾实业有限公司,开发区,20200116,39.0710420980366,121.85699498414282,湾里南小区,391,8922,大连金湾物业管理有限公司,0.3,辽宁,22,二手房,2002
香炉礁街24号1-1,大连,无开发商,西岗,20200116,-,-,香炉礁,167,11214,街道办事处（居委会）代管物业,0.1,辽宁,27,二手房,1979
山东路215号,大连,无开发商,甘井子,20200116,-,-,兴华路,56,12827,街道办事处（居委会）代管物业,0.5,辽宁,4,二手房,1986
逸林南园1-1,大连,大连三联置业有限公司,甘井子,20200116,29.83619327037016,121.5195684207441,三鼎春天,88,24132,瑞联德（大连）物业管理有限公司,2.8,辽宁,6,二手房,2016
玉湖街25号,大连,大连新型房地产开发有限公司,甘井子,20200116,-,-,泡崖四区,153,10970,大连新型物业管理有限公司,0.5,辽宁,15,二手房,1995
金泉路993-4号,大连,大连新希望家园房地产有限公司,金州,20200116,-,-,新希望家园,184,8784,大连新希望物业服务有限公司,1.2,辽宁,26,二手房,2000
大连市开发区黄河西路54号号,大连,中国铁路十三局,开发区,20200116,39.04780470991997,121.76709962040248,翠竹小区,120,8182,大连经济技术开发区中强物业管理有限公司,0.3,辽宁,7,二手房,1995
刘家桥86号2-28号,大连,无开发商,沙河口,20200116,30.75381694129544,121.29501254184517,刘家桥,77,11354,街道办事处（居委会）代管物业,0.1,辽宁,12,二手房,1980
开发区东城园98-14号,大连,大连乾豪集团有限公司,开发区,20200116,31.351231014512848,104.21781067832417,东城天下,379,8724,大连远洋基业物业管理有限公司,0.9,辽宁,27,二手房,2001
