address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
沙河口区富民路120号4-1-1,大连,大连渤海红旗集团有限公司,沙河口,20191106,38.93096547830764,121.56488196913604,马栏小学北,87,10954,街道办事处（居委会）代管物业,0.2,辽宁,5,二手房,1990
甘井子区泉水D1区37-7号,大连,大连运腾房地产开发有限公司,甘井子,20191106,39.014125831886716,121.61909125627173,锦泉源D2区,197,13526,大连嘉毅物业管理有限公司,0.5,辽宁,10,二手房,2000
沙河口区华新苑10号楼4号公建,大连,大连新型房地产开发有限公司,沙河口,20191106,38.940090852942305,121.58984251869741,侯一小区,175,11471,大连新兴物业管理有限公司,0.3,辽宁,34,二手房,1988
甘井子区榆林街37号-12公建,大连,新型房地产开发有限公司,甘井子,20191106,38.980133141940186,121.52779506952932,泡崖美林园,235,11646,新兴物业,0.6,辽宁,33,二手房,1996
开发区湾里南12栋-16-17-18号,大连,大连金湾实业有限公司,开发区,20191106,39.0710420980366,121.85699498414282,湾里南小区,411,8836,大连金湾物业管理有限公司,0.5,辽宁,36,二手房,2002
开发区湾里南12栋-16-17-18号,大连,大连金湾实业有限公司,开发区,20191106,39.0710420980366,121.85699498414282,湾里东,244,8387,大连金湾物业管理有限公司,0.5,辽宁,12,二手房,2001
甘井子区山东路商业街D区12号公建,大连,无开发商,甘井子,20191106,38.98482355118447,121.56451739992956,兴华路,49,12928,街道办事处（居委会）代管物业,0.5,辽宁,5,二手房,1986
甘井子区千山路26号,大连,大连市大钢集团,甘井子,20191106,38.985697948031984,121.58768860037272,山东路,79,12933,街道办事处（居委会）代管物业,0.2,辽宁,10,二手房,1900
西岗区香炉礁24号1-1,大连,无开发商,西岗,20191106,38.93371413072589,121.60938398726981,香炉礁,187,10940,街道办事处（居委会）代管物业,0.1,辽宁,14,二手房,1979
大连市甘井子区逸林南园1-1号,大连,大连三联置业有限公司,甘井子,20191106,38.95308393445654,121.52848968965472,三鼎春天,92,24317,瑞联德（大连）物业管理有限公司,2.8,辽宁,8,二手房,2016
