address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
沙河口区沙能街101号1单元1层1号,大连,大连新型房地产开发有限公司,沙河口,20181019,38.9366316275348,121.59031205759763,侯二小区,145,10416,街道办事处（居委会）代管物业,0.1,辽宁,25,二手房,1985
沙河口区华新苑10号楼4号公建,大连,大连新型房地产开发有限公司,沙河口,20181019,38.921778341674376,121.58261780680284,侯一小区,141,10535,大连新兴物业管理有限公司,0.3,辽宁,34,二手房,1989
大连经济技术开发区东城天下98-14,大连,大连乾豪集团有限公司,开发区,20181019,39.069195091289004,121.8502099927954,东城天下,278,8810,大连远洋基业物业管理有限公司,0.9,辽宁,39,二手房,2005
开发区正恒园1-16,大连,大连华宇房地产开发有限公司,开发区,20181019,39.04823944344617,121.76165468797754,左岸经典,171,8430,大连豪之英物业管理有限公司,1.8,辽宁,26,二手房,2009
甘井子区榆林街37号-12公建,大连,大连新型房地产开发有限公司,甘井子,20181019,38.980133141940186,121.52779506952932,泡崖美林园,218,11630,大连新型物业管理有限公司,0.3,辽宁,33,二手房,2003
开发区湾里南12栋-16-17-18号,大连,大连金湾实业有限公司,开发区,20181019,39.070782084451,121.8506739675913,湾里南小区,265,8273,大连金湾物业管理有限公司,0.5,辽宁,32,二手房,2003
大连市金州区站前街道生辉第一城14-3号1-2层,大连,大连新希望家园房地产有限公司,金州,20181019,39.0569681786798,121.74773530665969,新希望家园,127,8314,大连新希望物业服务有限公司,1.2,辽宁,21,二手房,2009
西岗区香炉礁24号1-1,大连,无开发商,西岗,20181019,38.91336952993919,121.6258229781024,香炉礁,114,9817,街道办事处（居委会）代管物业,0.1,辽宁,22,二手房,1979
甘井子区汇仁街22号,大连,远洋地产有限公司,甘井子,20181019,38.99712640764999,121.58834420439493,远洋广场,134,17415,大连远洋基业物业管理有限公司,1.4,辽宁,16,二手房,2010
大连开发区金马路169-2-8号,大连,大连亿锋房地产实业有限公司,开发区,20181019,39.055616222703364,121.78435683280883,亿锋现代城,115,9406,亿锋豪景物业管理有限公司,1.1,辽宁,16,二手房,2006
沙河口区西南路40号楼,大连,无开发商,沙河口,20181019,38.94141605900714,121.58612100465703,星海公园,40,12047,无物业管理服务,0.5,辽宁,17,二手房,1990
沙河口区富民路120号4-1-1,大连,大连渤海红旗集团有限公司,沙河口,20181019,38.930937859528605,121.5647274237578,马栏小学北,72,9493,街道办事处（居委会）代管物业,0.2,辽宁,17,二手房,1989
大连市甘井子区柳林园8-7号,大连,大连万科置业有限公司,甘井子,20181019,38.91290525308349,121.47673750074993,万科溪之谷,128,13552,大连万科物业服务有限公司,1.2,辽宁,18,二手房,2007
甘井子区玉湖街25号2单元1层3号,大连,大连新型房地产开发有限公司,甘井子,20181019,38.97626265183615,121.54617349027997,泡崖四区,131,10081,大连新型物业管理有限公司,0.5,辽宁,21,二手房,2002
大连经济技术开发区时代城4-3号1-2号,大连,远洋地产有限公司,开发区,20181019,39.0992481321252,121.83007860699459,远洋时代城一期,124,8183,大连远洋基业物业管理有限公司,1.5,辽宁,19,二手房,2012
金州区鹏程家园53#-8,大连,大连光伸房地产开发有限公司,开发区,20181019,39.0348243693741,121.81226722991913,绿洲半岛北岸,106,8572,大连经济技术开发区光伸物业服务有限公司,1.2,辽宁,14,二手房,2007
沙河口区富民路249号,大连,大连文路建设集团有限公司,沙河口,20181019,38.93341510428133,121.5770130002514,阳光月秀,46,15151,大连丰泽物业管理有限公司,0.6,辽宁,12,二手房,2006
金州新区站前街道生辉第一城5号楼1-2层4号,大连,大连公路工程集团生辉房地产开发有限公司,金州,20181019,39.05839688242313,121.74629383174005,生辉第一城,101,9688,大连生辉物业管理有限公司,1.2,辽宁,12,二手房,2007
甘井子区玉丽街2号楼1单元4号公建,大连,大连新型房地产开发有限公司,甘井子,20181019,38.98705071699301,121.55513043130172,泡崖七区,95,10040,大连新兴物业管理有限公司,0.3,辽宁,13,二手房,1999
无门店信息,大连,大连金湾实业有限公司,开发区,20181019,34.52713835999158,118.76812980670795,金湾山城,94,8781,大连金湾物业管理有限公司,0.1,辽宁,13,二手房,2009
