address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
华新苑10号公建,大连,大连新型房地产开发有限公司,沙河口,20191215,39.7087228081588,115.98904276913356,侯一小区,171,11632,大连新兴物业管理有限公司,0.3,辽宁,29,二手房,1988
山东路215号,大连,无开发商,甘井子,20191215,-,-,兴华路,50,12932,街道办事处（居委会）代管物业,0.5,辽宁,4,二手房,1986
开发区湾里东43栋-11号,大连,大连金湾实业有限公司,开发区,20191215,31.117313506164354,121.35679871346586,湾里南小区,395,8870,大连金湾物业管理有限公司,0.3,辽宁,24,二手房,2002
辽宁省大连市甘井子区泉水D区10-2-1-1-7号,大连,大连运腾房地产开发有限公司,甘井子,20191215,38.95800216293212,121.53151895549547,锦泉源D2区,201,13653,大连嘉毅物业管理有限公司,0.5,辽宁,16,二手房,2000
沙河口区富民路120号4单元1层1号,大连,大连渤海红旗集团有限公司,沙河口,20191215,38.93096547830764,121.56488196913604,马栏小学北,85,11048,街道办事处（居委会）代管物业,0.2,辽宁,7,二手房,1990
开发区湾里东43栋-11号,大连,大连金湾实业有限公司,开发区,20191215,31.117313506164354,121.35679871346586,湾里东,254,8425,大连金湾物业管理有限公司,0.5,辽宁,10,二手房,2001
榆林街37-11号,大连,新型房地产开发有限公司,甘井子,20191215,-,-,泡崖美林园,199,11684,新兴物业,0.6,辽宁,39,二手房,1996
山东路215号,大连,大连市大钢集团,甘井子,20191215,-,-,山东路,79,13094,街道办事处（居委会）代管物业,0.2,辽宁,11,二手房,1900
香炉礁街24号1-1,大连,无开发商,西岗,20191215,-,-,香炉礁,182,11053,街道办事处（居委会）代管物业,0.1,辽宁,20,二手房,1979
玉湖街25号,大连,大连新型房地产开发有限公司,甘井子,20191215,-,-,泡崖四区,179,11064,大连新型物业管理有限公司,0.5,辽宁,22,二手房,1998
逸林南园1-1,大连,大连三联置业有限公司,甘井子,20191215,29.83619327037016,121.5195684207441,三鼎春天,93,24085,瑞联德（大连）物业管理有限公司,2.8,辽宁,5,二手房,2016
辽宁省大连经济技术开发区东城园98-10号,大连,大连乾豪集团有限公司,开发区,20191215,39.06947065728432,121.85041399797672,东城天下,381,8686,大连远洋基业物业管理有限公司,0.9,辽宁,30,二手房,2001
大连市开发区黄河西路54号号,大连,中国铁路十三局,开发区,20191215,39.04780470991997,121.76709962040248,翠竹小区,117,8222,大连经济技术开发区中强物业管理有限公司,0.3,辽宁,8,二手房,1995
昌黎街22号,大连,大连城市建设集团有限公司,沙河口,20191215,-,-,北昌平小区,134,13624,无物业管理服务,0.8,辽宁,13,二手房,1983
大连市开发区润海园中区30栋-1号,大连,华润置地（大连）有限公司,开发区,20191215,39.03913809369363,121.75878503934794,华润海中国二期,163,14133,华润物业（大连）有限公司,2.8,辽宁,15,二手房,2007
黑石礁街5号1层1号,大连,无开发商,沙河口,20191215,-,-,黑石礁,18,12910,无物业管理服务,-,辽宁,1,二手房,1990
山东路215号,大连,大连嘉兴房地产开发有限公司,甘井子,20191215,-,-,千山路,82,12709,无物业管理服务,0.5,辽宁,6,二手房,1985
金泉路,大连,大连公路工程集团生辉房地产开发有限公司,金州,20191215,-,-,生辉第一城,142,11056,大连生辉物业管理有限公司,1.2,辽宁,10,二手房,2005
鞍山路31号,大连,无开发商,西岗,20191215,-,-,北京街北,54,13562,无物业管理服务,-,辽宁,1,二手房,1981
大连市开发区润海园中区30栋-1号,大连,华润（大连）房地产有限公司,开发区,20191215,39.03913809369363,121.75878503934794,华润海中国三期,165,14146,华润物业（大连）有限公司,3.1,辽宁,11,二手房,2010
辽宁省大连市沙河口区西南路35号,大连,无开发商,沙河口,20191215,38.964293047642364,121.59683086608811,星海公园,63,13132,无物业管理服务,-,辽宁,6,二手房,1975
辽宁省大连市金州区先进街道金润小区B47-1-1-1链家地产,大连,大连辽大房地产开发有限公司,金州,20191215,39.09384544618999,121.74606117061296,金润小区B区,216,8602,大连新兴物业管理有限公司,0.4,辽宁,13,二手房,2000
大连市开发区润海园中区30栋-1号,大连,华润（大连）房地产有限公司,开发区,20191215,39.03913809369363,121.75878503934794,华润海中国四期,133,13865,华润物业（大连）有限公司,3.1,辽宁,13,二手房,2000
玉丽街27号,大连,大连新型房地产开发有限公司,甘井子,20191215,-,-,泡崖七区,121,11529,大连新兴物业管理有限公司,0.3,辽宁,12,二手房,1995
金泉路,大连,大连新希望家园房地产有限公司,金州,20191215,-,-,新希望家园,191,8742,大连新希望物业服务有限公司,1.2,辽宁,29,二手房,2000
辽宁省大连市甘井子区泉水H3区15号3单元1号2号,大连,大连新型房地产开发有限公司,甘井子,20191215,38.95800216293212,121.53151895549547,龙畔金泉二期,69,12811,大连新型物业管理有限公司,0.5,辽宁,4,二手房,2002
刘家桥86号2-28号,大连,无开发商,沙河口,20191215,30.75381694129544,121.29501254184517,刘家桥,85,11175,街道办事处（居委会）代管物业,0.1,辽宁,8,二手房,1980
大连市甘井子区汇畅街46号,大连,远洋地产有限公司,甘井子,20191215,39.00589670961274,121.5960974388278,远洋荣域,4,19249,远洋亿家物业服务股份有限公司大连分公司,2.8,辽宁,2,二手房,2015
沙河口区富民路120号4单元1层1号,大连,大连渤海红旗集团有限公司,沙河口,20191215,38.93096547830764,121.56488196913604,马栏小学南,55,11801,大连辽南物业管理有限公司,0.2,辽宁,6,二手房,1990
辽宁省大连市沙河口区沙能街101号,大连,大连新型房地产开发有限公司,沙河口,20191215,38.9366316275348,121.59031205759763,侯二小区,162,11493,街道办事处（居委会）代管物业,0.1,辽宁,20,二手房,1978
辽宁省大连市甘井子区泉水E区87-5号,大连,大连锦丰和源祥房地产开发有限公司,甘井子,20191215,38.95800216293212,121.53151895549547,泉水人家幸福里,107,13800,大连泽霖物业管理有限公司,0.9,辽宁,8,二手房,2007
虹港路16号1层公建,大连,大连建园房地产开发有限公司,甘井子,20191215,-,-,城市印象,45,15565,大连天兴物业管理有限公司,1,辽宁,0,二手房,2009
大连市甘井子区汇仁街19号12号刘1单元102室,大连,远洋地产有限公司,甘井子,20191215,38.99746297497168,121.58917714380617,远洋广场,163,17537,大连远洋基业物业管理有限公司,1.4,辽宁,21,二手房,2003
张前路,大连,大连万科房地产开发有限公司,甘井子,20191215,-,-,万科魅力之城,134,14633,大连万科物业服务有限公司,1.5,辽宁,32,二手房,2006
辽宁省大连市高新园区火炬路18号,大连,大连海脉房地产开发有限公司,高新园区,20191215,38.86478986274973,121.53136705203373,MINI印象,141,14807,大连豪斯威物业管理有限公司,2.2,辽宁,28,二手房,2000
金马路169-2-6,大连,大连亿锋房地产实业有限公司,开发区,20191215,-,-,亿锋现代城,151,10442,亿锋豪景物业管理有限公司,1.1,辽宁,25,二手房,2004
山东路127号,大连,大连市大钢集团,甘井子,20191215,-,-,苍山路,56,12934,街道办事处（居委会）代管物业,0.4,辽宁,9,二手房,1988
开发区湾里东5-6号,大连,大连宏港房地产开发有限公司,开发区,20191215,31.117313506164354,121.35679871346586,都悦里,209,7096,大连宏港物业管理有限公司,0.3,辽宁,10,二手房,1992
西南路851号3单元1层3号,大连,无开发商,沙河口,20191215,-,-,李家街,26,11803,无物业管理服务,0.1,辽宁,6,二手房,1980
振鹏南三路,大连,大连市政府工程建设指挥部,开发区,20191215,28.205066621440153,113.06742804965272,小孤山中里,125,7959,大连广谊物业管理有限公司,0.1,辽宁,13,二手房,1998
大连市甘井子区汇畅街46号,大连,华润置地（大连）有限公司,甘井子,20191215,39.00589670961274,121.5960974388278,华润置地广场二期,57,20256,华润物业（大连）有限公司,2.9,辽宁,5,二手房,2002
沙河口区西南路643号,大连,无开发商,沙河口,20191215,38.943483429804665,121.5833555851182,交通大学,71,13278,无物业管理服务,-,辽宁,15,二手房,1955
振鹏南路,大连,大连光伸房地产开发有限公司,开发区,20191215,-,-,绿洲半岛北岸,155,9345,大连经济技术开发区光伸物业服务有限公司,1.2,辽宁,7,二手房,2000
五一路177号,大连,无开发商,沙河口,20191215,-,-,台山,121,12291,街道办事处（居委会）代管物业,0.5,辽宁,8,二手房,1980
满洲里街,大连,大连海汇房地产开发有限公司,开发区,20191215,49.604098854866066,117.38543585768029,城润万家,117,9816,大连正源物业服务有限公司,1,辽宁,14,二手房,2006
五四路156-158,大连,大连胜利路拓宽改造工程建设有限公司,沙河口,20191215,-,-,星海融汇,101,21506,大连星海湾商务区物业管理有限公司,1.5,辽宁,3,二手房,2010
辽宁省大连市甘井子区泉水D6区34-7、34-8号,大连,大连金广集团,甘井子,20191215,38.95800216293212,121.53151895549547,枫丹丽城,91,16003,大连金广物业有限公司,1.5,辽宁,14,二手房,1987
西南路161号,大连,无开发商,沙河口,20191215,-,-,孙家沟,87,12516,无物业管理服务,-,辽宁,11,二手房,1987
锦城西园4号3单元1层1号,大连,大连锦绣房地产开发有限公司,沙河口,20191215,30.611958940818088,103.99439284544592,锦华北园,83,14506,大连锦绣物业管理有限公司,0.6,辽宁,6,二手房,2000
无门店信息,大连,大连法马克房地产开发有限公司,高新园区,20191215,30.180169551389184,121.25032534611526,中铁诺德滨海花园,95,19681,大连中铁诺德物业服务有限公司,2.3,辽宁,6,二手房,2010
无门店信息,大连,大连金湾实业有限公司,开发区,20191215,30.180169551389184,121.25032534611526,金湾山城,186,9626,大连金湾物业管理有限公司,0.5,辽宁,14,二手房,2000
无门店信息,大连,大连乾豪集团有限公司,开发区,20191215,30.180169551389184,121.25032534611526,格林小镇,191,8283,沈阳瑞码阁物业管理有限公司大连分公司,0.6,辽宁,9,二手房,2000
辛如街35-1-1,大连,大连新星房地产开发有限公司,甘井子,20191215,-,-,新星绿城五期,78,14096,大连生生物业有限公司,0.8,辽宁,4,二手房,2006
大连市开发区润海园中区30栋-1号,大连,大连布鲁科房地产开发有限公司,开发区,20191215,39.03913809369363,121.75878503934794,热岛黄金海岸,197,10976,大连戴德梁行物业管理有限公司,1.6,辽宁,12,二手房,2005
开发区高吉里33栋-6号,大连,大连金港集团有限公司,开发区,20191215,39.07355836059941,121.8280439450145,高祥里,60,7848,街道办事处（居委会）代管物业,0.3,辽宁,5,二手房,1992
辽宁省大连市甘井子区泉水H1区54号3单元1层1号,大连,华润置业集团,甘井子,20191215,38.95800216293212,121.53151895549547,龙畔金泉五期K1区,30,13499,大连新兴物业管理有限公司,0.5,辽宁,3,二手房,2008
辽宁省大连市甘井子区泉水E区87-5号,大连,大连锦丰和源祥房地产开发有限公司,甘井子,20191215,38.95800216293212,121.53151895549547,泉水家年华,110,13868,街道办事处（居委会）代管物业,0.9,辽宁,2,二手房,2007
辽宁省大连市甘井子区泉水D区10-2-1-1-7号,大连,大连运腾房地产开发有限公司,甘井子,20191215,38.95800216293212,121.53151895549547,锦泉源D3区,85,12990,大连南虹物业管理有限公司,0.5,辽宁,9,二手房,2006
万客园3-7,大连,大连绿波房屋开发集团有限公司,沙河口,20191215,31.03329736698962,121.42694236022919,绿波小区,144,11452,大连绿波建设发展有限公司,0.2,辽宁,10,二手房,1993
辽宁省大连经济技术开发区东城园98-10号,大连,大连富远房地产开发有限公司,开发区,20191215,39.06947065728432,121.85041399797672,一河两公园,82,10290,大连锦明物业服务有限公司,1.7,辽宁,6,二手房,2007
大连市开发区正恒园1-17号1-2层,大连,大连神洲众益集团有限公司,开发区,20191215,39.0483947470765,121.76197222729735,万国宫馆一期,136,13150,加拿大高力国际物业服务有限公司,2.4,辽宁,8,二手房,1998
辽宁省大连市甘井子区泉水P3区35-2号,大连,大连鹏生房地产开发有限公司,甘井子,20191215,39.01647201716373,121.63841353829972,泉水N1区,91,10104,无物业管理服务,0.7,辽宁,4,二手房,1999
大连市开发区润海园中区30栋-1号,大连,华润（大连）房地产有限公司,开发区,20191215,39.03913809369363,121.75878503934794,华润海中国五期,106,14427,华润物业（大连）有限公司,3.1,辽宁,11,二手房,2006
辽宁省大连市甘井子区泉水P3区35-2号,大连,大连新型房地产开发总公司,甘井子,20191215,39.01647201716373,121.63841353829972,龙畔金泉五期K2区,60,13227,大连新兴物业管理有限公司,0.5,辽宁,4,二手房,2006
金马路169-2-6,大连,大连开建集团有限公司,开发区,20191215,-,-,开建阳光馨苑,101,9576,大连开利物业管理有限公司,1.2,辽宁,11,二手房,2005
锦城西园4号3单元1层1号,大连,大连锦绣房地产开发有限公司,沙河口,20191215,30.611958940818088,103.99439284544592,锦霞北园,91,11955,大连锦绣物业管理有限公司,0.3,辽宁,8,二手房,1998
沙河口区兰田街933号,大连,无开发商,沙河口,20191215,38.927339857244505,121.5655695375632,马栏广场东,14,11786,大连辽南物业管理有限公司,0.2,辽宁,2,二手房,1990
英华街21号,大连,西安保亿名卓置业有限公司,西岗,20191215,-,-,实验小学英华街,101,22015,无物业管理服务,0.5,辽宁,8,二手房,1984
辽宁省大连经济技术开发区红星海B区89栋-1号,大连,远洋地产有限公司,开发区,20191215,39.02975598517836,121.79659929962101,红星海五期青屿蓝,255,15025,大连远洋基业物业管理有限公司,2.2,辽宁,9,二手房,2005
哲林北园17-6,大连,大连恒德房屋开发有限公司,甘井子,20191215,38.96002898990447,121.53967574918717,恒德橄榄季,59,21587,大连恒德物业服务有限公司,1.4,辽宁,7,二手房,2008
无门店信息,大连,大连一方生态城房地产开发有限公司,开发区,20191215,30.180169551389184,121.25032534611526,一方天鹅湖,285,8492,大连一方物业管理有限公司,1.9,辽宁,14,二手房,2010
无,大连,大连亿达房地产股份有限公司,沙河口,20191215,-,-,桃山小区,94,10233,街道办事处（居委会）代管物业,0.5,辽宁,4,二手房,1994
鞍山路31号,大连,大连凯润房屋开发有限公司,西岗,20191215,-,-,景润一期,42,11973,无物业管理服务,0.5,辽宁,6,二手房,1998
翠竹小区33栋-4-1-1号,大连,香港北海集团,开发区,20191215,22.589909019238462,114.12722831877844,君悦豪庭,81,11891,街道办事处（居委会）代管物业,1.2,辽宁,5,二手房,2001
沙河口区前程街46号楼4单元1层2号,大连,大连银地置业发展有限公司,沙河口,20191215,38.932349900454405,121.55550146684811,观山满庭芳,93,19018,大连新展物业管理有限公司,1,辽宁,2,二手房,2003
玉学街1号,大连,大连新型房地产开发有限公司,甘井子,20191215,-,-,泡崖五区,66,11548,大连新兴物业管理有限公司,0.5,辽宁,12,二手房,1990
山东路215号,大连,无开发商,甘井子,20191215,-,-,经四街,11,12559,街道办事处（居委会）代管物业,0.5,辽宁,1,二手房,1989
满洲里街,大连,大连山河永好置业有限公司,开发区,20191215,49.604098854866066,117.38543585768029,山河秀景,52,10266,大连山河物业管理有限公司,1.5,辽宁,4,二手房,2000
甘井子区祥龙街2-1-1-1,大连,大连市大钢集团,甘井子,20191215,38.98801508597683,121.60467293990413,文星街,17,12978,街道办事处（居委会）代管物业,1,辽宁,1,二手房,1982
大连市甘井子区汇仁街19号12号刘1单元102室,大连,华润置地（大连）开发有限公司,甘井子,20191215,38.99746297497168,121.58917714380617,华润置地广场三期,35,22358,华润物业（大连）有限公司,2.9,辽宁,3,二手房,2005
辽宁省大连市甘井子区泉水A2区10-6号,大连,大连泉水园房屋开发有限公司,甘井子,20191215,39.00431266092344,121.61143463908799,骏腾名苑,75,14302,大连衡德物业管理有限公司,0.5,辽宁,7,二手房,1993
辽宁省大连市甘井子区泉水D区10-2-1-1-7号,大连,大连运达房地产集团有限公司,甘井子,20191215,38.95800216293212,121.53151895549547,锦泉源B4区,61,11322,大连佳泰物业管理有限公司,0.5,辽宁,7,二手房,2002
燕南街,大连,大连软件园发展有限公司,高新园区,20191215,-,-,东方圣克拉二期,40,27133,亿达物业管理有限公司,2.6,辽宁,4,二手房,2010
富民路249号2单元1层,大连,大连文路建设集团有限公司,沙河口,20191215,-,-,阳光月秀,61,16404,大连丰泽物业管理有限公司,0.6,辽宁,5,二手房,1999
松苑街23号,大连,大连盛和房地产开发有限公司,开发区,20191215,-,-,北欧假日,154,12287,大连鸿达物业管理有限公司,1.1,辽宁,10,二手房,2003
大连市开发区兴城路29-8号1层,大连,大连亿锋房地产实业有限公司,开发区,20191215,39.050215819714715,121.75776552188228,亿锋广场一期,93,14926,大连广恒物业管理有限公司,2.5,辽宁,10,二手房,2008
凌水路326号,大连,大连大有房屋开发有限公司,高新园区,20191215,-,-,大有恬园二期,60,17604,大连家园物业有限公司,1.2,辽宁,3,二手房,2009
甘井子天河路173号,大连,华润置地（大连）开发有限公司,甘井子,20191215,39.491124648817234,122.09275095337007,华润考拉住区,92,15677,华润物业（大连）有限公司,2.5,辽宁,10,二手房,2007
无门店信息,大连,大连新跃房地产开发有限公司,金州,20191215,30.180169551389184,121.25032534611526,金海国际花园,177,8157,盘锦瀚新物业管理有限公司,1,辽宁,7,二手房,2000
滨海路129号,大连,无开发商,开发区,20191215,-,-,西雅图,48,10992,大连维泰物业管理有限公司,0.8,辽宁,2,二手房,2002
锦霞南园13号3-1-3,大连,大连锦绣房地产开发有限公司,沙河口,20191215,38.94666503647743,121.5520886245546,锦华中园,64,12060,大连锦绣物业管理有限公司,0.5,辽宁,8,二手房,1998
无门店信息,大连,远洋地产有限公司,开发区,20191215,30.180169551389184,121.25032534611526,远洋时代城三期,88,8855,大连远洋基业物业管理有限公司,1.5,辽宁,3,二手房,2010
富民路249号2单元1层,大连,大连新华房屋开发有限公司,沙河口,20191215,-,-,新华同仁轩,39,17993,大连新华物业管理有限公司,0.6,辽宁,7,二手房,1995
无门店信息,大连,大连易和房地产集团有限公司,甘井子,20191215,30.180169551389184,121.25032534611526,岭秀滨城悦和西园,32,14848,大连易兴物业服务有限公司,1.3,辽宁,6,二手房,2011
大连市西岗区八一路102号1层10号,大连,大连澳南房屋开发有限公司,中山,20191215,38.92047268927287,121.61862512554262,明秀山庄A区,57,34995,绿城物业服务集团有限公司大连分公司,1.9,辽宁,3,二手房,2008
沙河口区兰田街933号,大连,无开发商,沙河口,20191215,38.927339857244505,121.5655695375632,兰玉街,28,12447,街道办事处（居委会）代管物业,0.2,辽宁,4,二手房,1990
金州区光明街道永乐金庭第10#-5,大连,大连金州金山房地产开发有限公司,金州,20191215,39.90325217389686,116.54883370530906,金山小区,85,7361,大连金山物业管理有限公司,1,辽宁,8,二手房,1995
无门店信息,大连,大连益宁房地产开发有限公司,开发区,20191215,30.180169551389184,121.25032534611526,岭湾峰尚一期,187,9113,大连鸿达物业管理有限公司,1.3,辽宁,12,二手房,2000
辽宁省大连市甘井子区泉水D区10-2-1-1-7号,大连,大连运腾房地产开发有限公司,甘井子,20191215,38.95800216293212,121.53151895549547,锦泉源D1区,104,14582,大连嘉合物业管理有限公司,0.5,辽宁,2,二手房,2005
无门店信息,大连,无开发商,甘井子,20191215,30.180169551389184,121.25032534611526,石油六闾,85,9810,街道办事处（居委会）代管物业,0.5,辽宁,13,二手房,1900
大连市开发区润海园中区30栋-1号,大连,华润置地（大连）开发有限公司,开发区,20191215,39.03913809369363,121.75878503934794,华润海中国一期,200,16290,华润物业（大连）有限公司,1.8,辽宁,6,二手房,2007
辽宁省大连市西岗区黄河路362号,大连,大连万达商业地产有限公司,西岗,20191215,38.91819905243802,121.61365779430986,万达华府二期,44,22846,大连万景物业管理有限公司,1.6,辽宁,3,二手房,2005
港浦路113号水晶郦湾7号楼102号商铺,大连,大连德威佳业投资有限公司,中山,20191215,38.92581613158865,121.70413303042639,东港天鹅湾,121,26857,哈尔滨德润物业管理有限公司大连分公司,4.8,辽宁,3,二手房,2013
满洲里街,大连,大连海汇房地产开发有限公司,开发区,20191215,49.604098854866066,117.38543585768029,正源吉祥e家,51,12442,大连正源物业服务有限公司,1,辽宁,1,二手房,2008
辛吉街50-7号,大连,"大连新界置业有限公司,大连新星房地产开发有限公司",甘井子,20191215,-,-,新星绿城三期,60,13016,大连生生物业管理有限公司,0.5,辽宁,7,二手房,2003
北斗街53号1层1号,大连,大连运达房地产集团有限公司,中山,20191215,-,-,运达嘉洲阳光,31,19148,大连运达物业有限公司,1.8,辽宁,2,二手房,2004
康平街1,大连,陕西亿润经贸有限公司,西岗,20191215,-,-,34中胜利路,14,26656,无物业管理服务,0.5,辽宁,3,二手房,1985
金州区友谊街道和平路59-10号公建,大连,无开发商,金州,20191215,39.11218285478539,121.72015835157164,和平小区,32,9118,街道办事处（居委会）代管物业,0.1,辽宁,3,二手房,1989
金州区光明街道永乐金庭第10#-5,大连,大连金宸集团,金州,20191215,39.90325217389686,116.54883370530906,连大文润金宸三期,61,11781,大连四通物业管理有限公司,1,辽宁,4,二手房,2009
辽宁省大连市沙河口区西南路35号,大连,无开发商,沙河口,20191215,38.964293047642364,121.59683086608811,黑石礁景山,14,12523,无物业管理服务,-,辽宁,0,二手房,1980
大连市开发区兴城路29-8号1层,大连,大连亿锋房地产实业有限公司,开发区,20191215,39.050215819714715,121.75776552188228,亿锋广场二期,42,15182,大连广恒物业管理有限公司,2.5,辽宁,6,二手房,2005
山东路215号,大连,大连市大钢集团,甘井子,20191215,-,-,华中街,48,12906,街道办事处（居委会）代管物业,0.1,辽宁,1,二手房,1900
无门店信息,大连,大连软件园瑞安发展有限公司,高新园区,20191215,30.180169551389184,121.25032534611526,大连天地悦翠台,88,15166,大连万科物业服务有限公司,2.4,辽宁,5,二手房,2000
无门店信息,大连,大华集团大连置业有限公司,高新园区,20191215,30.180169551389184,121.25032534611526,大华锦绣华城四期,36,22480,大连大华物业管理有限公司,2.5,辽宁,3,二手房,2010
万客园3-7,大连,大连鹏生房地产开发有限公司,沙河口,20191215,31.03329736698962,121.42694236022919,枫林绿洲,43,14336,大连鹏辉物业管理有限公司,0.3,辽宁,6,二手房,2002
大同街127号,大连,勋业（大连）置业有限公司,西岗,20191215,-,-,远洋风景,60,23901,大连远洋风景物业服务中心,1.9,辽宁,3,二手房,2007
金家街17-7号,大连,大理耀鹏房地产开发有限责任公司,甘井子,20191215,-,-,76中学桥南,59,16495,大连新华物业管理有限公司,0.2,辽宁,7,二手房,1970
富静街2号,大连,大连正源房地产开发有限公司,沙河口,20191215,-,-,幸福e家三期,36,38481,大连正源物业服务有限公司,1,辽宁,13,二手房,2003
金源街,大连,大连开建房地产开发有限公司,开发区,20191215,31.125525262411134,121.37376330285234,金源北里安居小区,80,8415,嘉兴物业管理有限公司,0.3,辽宁,2,二手房,1996
无门店信息,大连,大连天意房地产开发有限公司,甘井子,20191215,30.180169551389184,121.25032534611526,金地艺境,197,15134,大连金地物业管理有限公司,0.5,辽宁,1,二手房,2011
辽宁省大连市甘井子区泉水D区10-2-1-1-7号,大连,大连运腾房地产开发有限公司,甘井子,20191215,38.95800216293212,121.53151895549547,锦泉源D4区,34,14396,大连南虹物业管理有限公司,0.5,辽宁,2,二手房,2006
辽宁省大连市西岗区黄河路362号,大连,大连万峰房地产开发有限公司,西岗,20191215,38.91819905243802,121.61365779430986,万达华府一期,67,26198,大连万景物业管理有限公司,1.3,辽宁,5,二手房,1990
锦绣路43号,大连,大连锦绣房地产开发有限公司,沙河口,20191215,-,-,锦江园,98,11129,大连锦绣物业管理有限公司,0.3,辽宁,8,二手房,1983
共建巷61号2单元1层3号,大连,无开发商,中山,20191215,-,-,39中望海街,8,26137,街道办事处（居委会）代管物业,0.5,辽宁,1,二手房,1970
山东路127号,大连,无开发商,甘井子,20191215,-,-,七迎路,44,12581,街道办事处（居委会）代管物业,0.2,辽宁,4,二手房,1990
辽宁省大连市甘井子区芳韵街31号,大连,亿达集团大连房地产开发有限公司,甘井子,20191215,38.95628814568166,121.59125586946814,亿达世纪城,51,24120,亿达物业管理有限公司,0.9,辽宁,4,二手房,2002
辽宁省大连市甘井子区泉水A2区10-3号,大连,大连运泽房地产开发有限公司,甘井子,20191215,39.00431266092344,121.61143463908799,润泽园,93,17134,大连城建开发集团物业管理有限公司,1.4,辽宁,7,二手房,2008
沙河口区数码路北段18-20号,大连,无开发商,高新园区,20191215,38.890045799133254,121.55191912957606,由家村,27,13045,无物业管理服务,-,辽宁,8,二手房,1987
促进路208号2-1-2,大连,无开发商,甘井子,20191215,-,-,柳河小区,4,12088,大连衡德物业管理有限公司,0.2,辽宁,1,二手房,1994
英华街21号,大连,无开发商,西岗,20191215,-,-,实验小学同庆街,87,22928,无物业管理服务,-,辽宁,10,二手房,1980
无门店信息,大连,大连润景房地产开发有限公司,金州,20191215,30.180169551389184,121.25032534611526,恒盛阳光美麓,118,9617,沈阳阳光鑫地物业管理有限公司大连分公司,1.6,辽宁,7,二手房,2005
大连市开发区正恒园1-17号1-2层,大连,大连神洲众益集团有限公司,开发区,20191215,39.0483947470765,121.76197222729735,万国宫馆二期,163,14413,加拿大高力国际物业服务有限公司,2.4,辽宁,7,二手房,2000
翠竹小区33栋-4-1-1号,大连,开发区城建局,开发区,20191215,22.589909019238462,114.12722831877844,红梅小区,65,12734,街道办事处（居委会）代管物业,0.3,辽宁,6,二手房,1992
沙河口区马栏北街219号1层2号,大连,渤海恒达房屋开发有限公司,沙河口,20191215,38.927391286826605,121.56028114026321,西苑小区,43,12958,大连西苑物业管理有限公司,0.3,辽宁,4,二手房,1994
无门店信息,大连,大连恒昇房地产开发有限公司,甘井子,20191215,30.180169551389184,121.25032534611526,福佳新城一期,106,9685,大连福佳物业管理有限公司,0.9,辽宁,4,二手房,2000
辽宁省大连市甘井子区泉水B2区19-1号,大连,大连科技园房地产开发有限公司,甘井子,20191215,39.01028172254777,121.6081440561744,奥林园,52,14093,大连衡德物业管理有限公司,0.5,辽宁,7,二手房,1985
