address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
甘井子区泉水D1区37-7号,大连,大连运腾房地产开发有限公司,甘井子,20191027,39.014125831886716,121.61909125627173,锦泉源D2区,196,13425,大连嘉毅物业管理有限公司,0.5,辽宁,12,二手房,2000
沙河口区华新苑10号楼4号公建,大连,大连新型房地产开发有限公司,沙河口,20191027,38.940090852942305,121.58984251869741,侯一小区,173,11381,大连新兴物业管理有限公司,0.3,辽宁,38,二手房,1988
甘井子区千山路26号,大连,大连市大钢集团,甘井子,20191027,38.985697948031984,121.58768860037272,山东路,81,12862,街道办事处（居委会）代管物业,0.2,辽宁,15,二手房,1900
沙河口区富民路120号4-1-1,大连,大连渤海红旗集团有限公司,沙河口,20191027,38.93096547830764,121.56488196913604,马栏小学北,93,10953,街道办事处（居委会）代管物业,0.2,辽宁,6,二手房,1990
开发区湾里南12栋-16-17-18号,大连,大连金湾实业有限公司,开发区,20191027,39.0710420980366,121.85699498414282,湾里东,243,8348,大连金湾物业管理有限公司,0.5,辽宁,17,二手房,2001
甘井子区山东路商业街D区12号公建,大连,无开发商,甘井子,20191027,38.98482355118447,121.56451739992956,兴华路,51,13003,街道办事处（居委会）代管物业,0.5,辽宁,8,二手房,1986
开发区湾里南12栋-16-17-18号,大连,大连金湾实业有限公司,开发区,20191027,39.0710420980366,121.85699498414282,湾里南小区,391,8801,大连金湾物业管理有限公司,0.5,辽宁,37,二手房,2002
甘井子区榆林街37号-12公建,大连,新型房地产开发有限公司,甘井子,20191027,38.980133141940186,121.52779506952932,泡崖美林园,234,11597,新兴物业,0.6,辽宁,40,二手房,1996
西岗区香炉礁24号1-1,大连,无开发商,西岗,20191027,38.93371413072589,121.60938398726981,香炉礁,188,11077,街道办事处（居委会）代管物业,0.1,辽宁,19,二手房,1979
甘井子区玉湖街25号2单元1层3号,大连,大连新型房地产开发有限公司,甘井子,20191027,38.97626265183615,121.54617349027997,泡崖四区,187,10922,大连新型物业管理有限公司,0.5,辽宁,27,二手房,1998
大连市甘井子区逸林南园1-1号,大连,大连三联置业有限公司,甘井子,20191027,38.95308393445654,121.52848968965472,三鼎春天,94,23668,瑞联德（大连）物业管理有限公司,2.8,辽宁,9,二手房,2016
开发区黄海西路54号,大连,中国铁路十三局,开发区,20191027,-,-,翠竹小区,126,8372,大连经济技术开发区中强物业管理有限公司,0.3,辽宁,10,二手房,1995
大连经济技术开发区东城天下98-14,大连,大连乾豪集团有限公司,开发区,20191027,39.07151562420244,121.84730702870935,东城天下,371,8647,大连远洋基业物业管理有限公司,0.9,辽宁,30,二手房,2001
沙河口区黑石礁街5号1层1号,大连,无开发商,沙河口,20191027,38.87949716810132,121.56306843044705,黑石礁,15,12639,无物业管理服务,-,辽宁,2,二手房,1990
金州新区润海园中区18#2号,大连,华润置地（大连）有限公司,开发区,20191027,39.03913809369363,121.75878503934794,华润海中国二期,160,14067,华润物业（大连）有限公司,2.8,辽宁,14,二手房,2007
沙河口区昌黎街22号,大连,大连城市建设集团有限公司,沙河口,20191027,38.91996890280004,121.5915690169723,北昌平小区,139,13263,无物业管理服务,0.8,辽宁,18,二手房,1983
金州新区站前街道生辉第一城5号楼1-2层4号,大连,大连公路工程集团生辉房地产开发有限公司,金州,20191027,39.058516091109915,121.74647708606409,生辉第一城,149,11069,大连生辉物业管理有限公司,1.2,辽宁,12,二手房,2005
甘井子区千山路26号,大连,大连嘉兴房地产开发有限公司,甘井子,20191027,38.985697948031984,121.58768860037272,千山路,76,12633,无物业管理服务,0.5,辽宁,13,二手房,1985
西岗区鞍山路29号龙畔锦城东门,大连,无开发商,西岗,20191027,38.92825122675866,121.61368812829033,北京街北,50,13131,无物业管理服务,-,辽宁,4,二手房,1981
沙河口区西南路40号楼,大连,无开发商,沙河口,20191027,38.957570058826505,121.5941753506976,星海公园,65,13152,无物业管理服务,-,辽宁,5,二手房,1975
开发区润海园中区30-1,大连,华润（大连）房地产有限公司,开发区,20191027,39.04027571342674,121.76981308694118,华润海中国三期,167,14107,华润物业（大连）有限公司,3.1,辽宁,11,二手房,2010
金州区金润花园B区47号1单元1层1号2号,大连,大连辽大房地产开发有限公司,金州,20191027,39.103366101511746,121.74553395510915,金润小区B区,196,8506,大连新兴物业管理有限公司,0.4,辽宁,18,二手房,2000
开发区润海园中区62-9,大连,华润（大连）房地产有限公司,开发区,20191027,38.874040993300795,115.4830376957069,华润海中国四期,138,13945,华润物业（大连）有限公司,3.1,辽宁,12,二手房,2000
甘井子区泉水H3区15号3单元1层2号,大连,大连新型房地产开发有限公司,甘井子,20191027,38.95800216293212,121.53151895549547,龙畔金泉二期,72,12820,大连新型物业管理有限公司,0.5,辽宁,7,二手房,2002
甘井子区玉丽街2号楼1单元4号公建,大连,大连新型房地产开发有限公司,甘井子,20191027,38.98482355118447,121.56451739992956,泡崖七区,130,11216,大连新兴物业管理有限公司,0.3,辽宁,19,二手房,1995
大连市金州区站前街道生辉第一城14-3号1-2层,大连,大连新希望家园房地产有限公司,金州,20191027,39.05726502015243,121.74769707477718,新希望家园,196,8730,大连新希望物业服务有限公司,1.2,辽宁,22,二手房,2000
沙河口区华北路448号楼1-4公建,大连,无开发商,沙河口,20191027,38.903224944733765,121.56809734950556,刘家桥,93,11002,街道办事处（居委会）代管物业,0.1,辽宁,12,二手房,1980
沙河口区富民路120号4-1-1,大连,大连渤海红旗集团有限公司,沙河口,20191027,38.93096547830764,121.56488196913604,马栏小学南,58,11430,大连辽南物业管理有限公司,0.2,辽宁,9,二手房,1990
大连市甘井子中华路街道汇畅街48号,大连,远洋地产有限公司,甘井子,20191027,38.997257858220124,121.60222449235529,远洋荣域,4,19069,远洋亿家物业服务股份有限公司大连分公司,2.8,辽宁,10,二手房,2015
沙河口区沙能街101号1单元1层1号,大连,大连新型房地产开发有限公司,沙河口,20191027,38.9366316275348,121.59031205759763,侯二小区,180,11472,街道办事处（居委会）代管物业,0.1,辽宁,25,二手房,1978
甘井子区泉水D6区51号,大连,大连锦丰和源祥房地产开发有限公司,甘井子,20191027,39.008533763389565,121.6176872945902,泉水人家幸福里,124,13977,大连泽霖物业管理有限公司,0.9,辽宁,3,二手房,2007
甘井子区宜居园10-1号房屋,大连,大连万科房地产开发有限公司,甘井子,20191027,39.00004440847373,121.52111909294536,万科魅力之城,143,14483,大连万科物业服务有限公司,1.5,辽宁,40,二手房,2006
甘井子区汇仁街22号,大连,远洋地产有限公司,甘井子,20191027,38.99712640764999,121.58834420439493,远洋广场,181,17361,大连远洋基业物业管理有限公司,1.4,辽宁,28,二手房,2003
甘井子区泉水B5区27-9,大连,大连运达房地产集团有限公司,甘井子,20191027,39.014810555776016,121.60976819253642,锦泉源B5区,78,13085,政治物业管理有限公司,0.1,辽宁,7,二手房,1988
甘井子区泉水K4区1号2单元1层1号,大连,大连新型房地产开发有限公司,甘井子,20191027,39.01483270231223,121.63211336243603,龙畔金泉五期K4区,134,12694,大连新兴物业管理有限公司,0.5,辽宁,9,二手房,2005
甘井子区泉水A2区10-3号,大连,源祥房地产开发有限公司,甘井子,20191027,39.00431266092344,121.61143463908799,美域盛景,189,13144,大连新华物业管理有限公司,0.8,辽宁,14,二手房,2006
开发区东北三街94号1层,大连,大连欣达房地产开发有限公司,开发区,20191027,-,-,倚山里小区,264,7588,大连经济技术开发区聚盛达物业管理有限公司,0.2,辽宁,4,二手房,1995
无门店信息,大连,大连乾豪集团有限公司,开发区,20191027,30.180169551389184,121.25032534611526,格林小镇,204,8168,沈阳瑞码阁物业管理有限公司大连分公司,0.6,辽宁,9,二手房,2000
开发区润海园中区18#2号,大连,大连布鲁科房地产开发有限公司,开发区,20191027,39.04027571342674,121.76981308694118,热岛黄金海岸,206,10980,大连戴德梁行物业管理有限公司,1.6,辽宁,12,二手房,2005
大连开发区金马路169-2-8号,大连,大连亿锋房地产实业有限公司,开发区,20191027,39.05541129821298,121.7828373490387,亿锋现代城,142,10102,亿锋豪景物业管理有限公司,1.1,辽宁,27,二手房,2004
甘井子区山东路127-2号,大连,大连市大钢集团,甘井子,20191027,38.99065559549029,121.59126483545545,苍山路,61,12568,街道办事处（居委会）代管物业,0.4,辽宁,7,二手房,1988
